"cust_id","display_name","Spa","Nurburgring","LeMans","Aragon","Daytona","Total time (hr)","team_name"
"245246","Alberto Garc?a Blasco","132","0","242","141","0","8,6","XBD Racing GTP"
"410026","Pablo ?lvarez","208","0","159","53","0","7,0","XBD Racing GTP"
"730048","Max Daleiden","66","150","99","216","0","8,8","Fury Simsport"
"433451","William Foyle","63","99","51","117","0","5,5","Fury Simsport"
"803226","Julien Harmand","170","176","148","98","0","9,9","Old Firm Racing By HelvetSim"
"490005","Randy Martin y Mateos","222","139","66","94","0","8,7","Old Firm Racing By HelvetSim"
"902425","Jaroslav Roth","104","37","31","119","0","4,9","Connection Lost Racing"
"703103","Bart Matyja","53","60","40","170","0","5,4","Connection Lost Racing"
"690462","Alex Pilbeam","146","264","62","34","0","8,4","VULKAN Motorsports Orange"
"835612","Quinten Verdonk2","51","48","0","67","0","2,8","VULKAN Motorsports Orange"
"634750","Mathijs Wijten","146","128","134","77","0","8,1","DLR SimLab \\ Red"
"613747","Jeanpaul Seemann","90","47","47","85","0","4,5","DLR SimLab \\ Red"
"289340","Jan K?rbs","74","61","119","52","0","5,1","Reiter Engineering Esports"
"639396","Jonas Weber4","52","58","42","87","0","4,0","Reiter Engineering Esports"
"993244","Wesley Boekhout","0","85","0","91","0","2,9","DLR SimLab \\ White"
"813496","Emre Kemaldar","69","0","38","55","0","2,7","DLR SimLab \\ White"
"887959","Danny Jansen","0","0","0","60","0","1,0","DLR SimLab \\ White"
"372757","Abel Sall?n","37","35","74","61","0","3,4","FastRepair Motorsport"
"670589","Joan Z Rodr?guez","0","41","0","44","0","1,4","FastRepair Motorsport"
"590994","Charlie Lund Nilsson","0","62","92","69","0","3,7","RPM Racing PEC"
"889286","Tom Cecchetto","129","53","53","42","0","4,6","RPM Racing PEC"
"412258","Yeshal Yunus","0","0","0","72","0","1,2","RPM Racing PEC"
"591043","Patryk Molawka","0","0","35","82","0","1,9","Virtualdrivers by Thrustmaster #1"
"827394","Nicolas Vicent","52","85","81","94","0","5,2","Virtualdrivers by Thrustmaster #1"
"501731","Thorsten Seifert","370","278","190","378","0","20,3","Orca Performance Racing #Black"
"775090","Marcel Beck","221","223","121","173","0","12,3","Orca Performance Racing #Black"
"599263","Kevin Lazar","227","54","249","277","0","13,4","Orca Performance Racing #Black"
"361527","Romain Utiel","152","142","114","132","0","9,0","Valkyrie Exype Green"
"335241","Kevin Chartier","317","551","216","258","0","22,4","Valkyrie Exype Green"
"666727","Vladislav T Shopov","28","0","35","43","0","1,8","Negative Delta by SimGear.gg"
"1009217","Kristian Novev","86","94","0","49","0","3,8","Negative Delta by SimGear.gg"
"981826","Michael C Brown","0","0","0","75","0","1,3","Top Tier Motorsport"
"119381","Justin Eloff","138","45","0","60","0","4,1","Top Tier Motorsport"
"1067459","Lewis Kenyon","46","37","0","50","0","2,2","Top Tier Motorsport"
"994089","Maximilian Fischer2","733","869","500","750","0","47,5","Orca Performance Racing #Blue"
"905598","Dorian Kunar","138","45","0","278","0","7,7","Orca Performance Racing #Blue"
"390003","?scar Gonz?lez","105","154","0","41","0","5,0","Carbono eSports GT3 Am"
"227444","Sergio Ochoa Exp?sito","70","21","54","48","0","3,2","Carbono eSports GT3 Am"
"392630","Arend Vergauwe","116","0","75","77","0","4,5","EAGLE Speed Academy E-Sports #S"
"454539","Lander Van den Brande","147","101","111","87","0","7,4","EAGLE Speed Academy E-Sports #S"
"773907","Tim De Hondt","49","45","59","67","0","3,7","EAGLE Speed Academy E-Sports #S"
"222138","Alex Mas","0","16","110","47","0","2,9","M4sked Devils eSports"
"280146","Raul Monraba","239","254","127","52","0","11,2","M4sked Devils eSports"
"243240","Joan Marti","111","15","110","58","0","4,9","GO! eSports BJ"
"602487","Miguel Toledo","106","79","0","62","0","4,1","GO! eSports BJ"
"856411","Andrew M Fairley","51","0","0","70","0","2,0","DDK Racing Team #G"
"924596","Ruben Berings","168","202","67","81","0","8,6","DDK Racing Team #G"
"735022","Raz Harper","70","74","12","36","0","3,2","DDK Racing Team #G"
"510504","Alex Baeyens","151","80","0","108","0","5,6","EAGLE Speed Academy E-Sports #G"
"767013","Lorenz De Vlieger","194","0","88","142","0","7,1","EAGLE Speed Academy E-Sports #G"
"407487","Kyllian Claes","71","45","49","57","0","3,7","EAGLE Speed Academy E-Sports #G"
"925317","Brecht Berings","72","50","0","76","0","3,3","DDK Racing Team #S"
"462911","Gilles Philippaerts","265","261","4","250","0","13,0","DDK Racing Team #S"
"638244","Nauzet Valeriano Herrera","117","151","0","122","0","6,5","DDK Racing Team #S"
"524466","Stefan Anjema","52","50","158","114","0","6,2","MRRS Racing Amethyst"
"564580","Glenn Smit2","270","183","276","142","0","14,5","MRRS Racing Amethyst"
"613751","Richard Schaafstra","106","0","0","119","0","3,8","MRRS Racing Amethyst"
"324933","Stephane Henriques","36","66","40","39","0","3,0","#291 SMURF RACING TEAM"
"311045","David Narbonne","58","68","34","32","0","3,2","#291 SMURF RACING TEAM"
"582569","Darius Rackauskas","188","251","95","133","0","11,1","Locals Autosport"
"605561","Vakaris Vilius","174","183","139","189","0","11,4","Locals Autosport"
"602477","Vytautas Jasiulevicius","91","69","47","109","0","5,3","Locals Autosport"
"564555","Mauro Dragoni","47","49","44","80","0","3,7","IS Corse Red"
"578268","Edoardo Fava","0","0","0","197","0","3,3","IS Corse Red"
"327245","Paolo Ernesto Taddeolini","338","238","139","213","0","15,5","IS Corse Red"
"821015","Tomas Vandenbossche","89","42","34","69","0","3,9","Squadra Veloce Alpha by EAGLE RS"
"260286","Jelle Verstraeten2","56","72","54","66","0","4,1","Squadra Veloce Alpha by EAGLE RS"
"528179","Franken Robin","0","0","0","90","0","1,5","Squadra Veloce Alpha by EAGLE RS"
"890122","Edwin Bierling","93","48","33","82","0","4,3","DLR SimLab \\ Green"
"1019076","Kevin Versantvoort","89","0","0","57","0","2,4","DLR SimLab \\ Green"
"523760","Didier Ruijters","0","75","139","88","0","5,0","DLR SimLab \\ Green"
"1016227","Tiemen Scholten","0","0","0","74","0","1,2","DLR SimLab \\ Green"
"564150","Iv?n Ubera","46","49","110","140","0","5,7","VULKAN Motorsports Gold"
"857753","Afonso Souto","44","23","40","40","0","2,5","VULKAN Motorsports Gold"
"693417","Ignas Vincer?evskis","44","0","67","94","0","3,4","VULKAN Motorsports Gold"
"667770","Pedro Daniel Paquete","0","0","88","54","0","2,4","NGC by Rubis G?s (Butano)"
"854414","Marcos Marques da Silva","0","90","0","60","0","2,5","NGC by Rubis G?s (Butano)"
"918469","Davey Van De Wakker","138","0","116","64","0","5,3","DLR SimLab \\ Orange"
"20477","Albert Priem","90","121","173","208","0","9,9","DLR SimLab \\ Orange"
"396799","Neil Debacquer","225","112","82","89","0","8,5","Taylor Mills Racing #41"
"362217","Alexander Gerber","0","232","129","180","0","9,0","Taylor Mills Racing #41"
"381160","Miguel Angel Gallardo","33","168","84","85","0","6,2","Enosis eSports Simultimate GT3"
"405341","Iv?n Aguado","86","0","0","38","0","2,1","Enosis eSports Simultimate GT3"
"138006","Jorge Correia","116","149","152","273","0","11,5","Enosis eSports Emix"
"436347","Migue Santos","0","0","0","98","0","1,6","Enosis eSports Emix"
"929520","Lucas Derksen2","44","0","0","36","0","1,3","Unlucky Luc Racing"
